vendor_name,amount,report_month,report_year,schedule,source_pdf
A.C.K Namasoli Health Centre,247120.0,May,2025,1,SHA_PAID_FACILITIES_MAY_2025.pdf
A.C.K Namasoli Health Centre,438880.0,June,2025,2,SHA_PAID_FACILITIES_JUNE_2025-2.pdf
A.C.K. Maseno Hospital,1895040.0,July,2025,1,SHA_PAID_FACILITIES_JULY_2025.pdf
A.C.K. Maseno Hospital,4699440.0,June,2025,2,SHA_PAID_FACILITIES_JUNE_2025-2.pdf
A.C.K. Maseno Hospital,1051680.0,July,2025,1,SHA_PAID_FACILITIES_JULY_2025.pdf
A.C.K. Maseno Hospital,2912000.0,May,2025,1,SHA_PAID_FACILITIES_MAY_2025.pdf
A.I.C Githumu Mission Hospital,43680.0,August,2025,2,SHA_PAYMENTS_AUGUST_2025_2.pdf
A.I.C Githumu Mission Hospital,201600.0,July,2025,1,SHA_PAID_FACILITIES_JULY_2025.pdf
A.I.C Githumu Mission Hospital,3246360.0,May,2025,1,SHA_PAID_FACILITIES_MAY_2025.pdf
A.I.C Githumu Mission Hospital,537000.0,July,2025,3,SHA_PAYMENTS_JULY_2025_3.pdf
A.I.C Githumu Mission Hospital,1062800.0,July,2025,4,SHA_PAYMENTS_JULY_2025_4.pdf
A.I.C Githumu Mission Hospital,6193640.0,August,2025,1,SHA_PAYMENTS_AUGUST_2025_1.pdf
A.I.C Githumu Mission Hospital,7986580.0,June,2025,2,SHA_PAID_FACILITIES_JUNE_2025-2.pdf
A.I.C Githumu Mission Hospital,305760.0,July,2025,1,SHA_PAID_FACILITIES_JULY_2025.pdf
A.I.C Githumu Mission Hospital,290000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
A.I.C Kapsowar Mission Hospital,560560.0,July,2025,1,SHA_PAID_FACILITIES_JULY_2025.pdf
A.I.C Kapsowar Mission Hospital,4793360.0,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
A.I.C Kapsowar Mission Hospital,1715480.0,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
A.I.C Kapsowar Mission Hospital,787040.0,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
A.I.C Kapsowar Mission Hospital,14840640.0,May,2025,1,SHA_PAID_FACILITIES_MAY_2025.pdf
A.I.C Kapsowar Mission Hospital,224000.0,July,2025,4,SHA_PAYMENTS_JULY_2025_4.pdf
A.I.C Kapsowar Mission Hospital,145600.0,July,2025,3,SHA_PAYMENTS_JULY_2025_3.pdf
A.I.C Kapsowar Mission Hospital,3456060.0,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
A.I.C Kapsowar Mission Hospital,28160.0,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
A.I.C Kapsowar Mission Hospital,851160.0,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
A.I.C Kapsowar Mission Hospital,1968400.0,August,2025,1,SHA_PAYMENTS_AUGUST_2025_1.pdf
A.I.C Kapsowar Mission Hospital,28257900.0,June,2025,2,SHA_PAID_FACILITIES_JUNE_2025-2.pdf
A.I.C Kapsowar Mission Hospital,1466080.0,July,2025,1,SHA_PAID_FACILITIES_JULY_2025.pdf
A.I.C Lokori Health Centre,2240.0,July,2025,1,SHA_PAID_FACILITIES_JULY_2025.pdf
A.I.C. Bethlehem House Of Bread Dispensary,131899.59,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
A.I.C. Bethlehem House Of Bread Dispensary,325424.63,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
Aar Hospital Limited Muthaiga,1259670.0,August,2025,1,SHA_PAYMENTS_AUGUST_2025_1.pdf
Aar Hospital Limited Muthaiga,1187280.0,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
Aar Hospital Limited Muthaiga,7650340.0,May,2025,1,SHA_PAID_FACILITIES_MAY_2025.pdf
Aar Hospital Limited Muthaiga,2531700.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
Aar Hospital Limited Muthaiga,1155390.0,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
Aar Hospital Limited Muthaiga,466480.0,August,2025,2,SHA_PAYMENTS_AUGUST_2025_2.pdf
Aar Hospital Limited Muthaiga,2721413.0,June,2025,2,SHA_PAID_FACILITIES_JUNE_2025-2.pdf
Aar Hospital Limited Muthaiga,1959600.0,July,2025,1,SHA_PAID_FACILITIES_JULY_2025.pdf
Aar Hospital Limited Muthaiga,4100250.0,July,2025,1,SHA_PAID_FACILITIES_JULY_2025.pdf
Aar Hospital Limited Muthaiga,212800.0,July,2025,3,SHA_PAYMENTS_JULY_2025_3.pdf
Aar Hospital Limited Muthaiga,761920.0,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
Aar Hospital Limited Muthaiga,987160.0,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
Aasif Medical And Health Service Limited,20480.0,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
Aasif Medical And Health Service Limited,95840.0,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
Aasif Medical And Health Service Limited,201600.0,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
Aasif Medical And Health Service Limited,2432320.0,May,2025,1,SHA_PAID_FACILITIES_MAY_2025.pdf
Aasif Medical And Health Service Limited,318080.0,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
Aasif Medical And Health Service Limited,302400.0,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
Aasif Medical And Health Services Limited,304640.0,June,2025,2,SHA_PAID_FACILITIES_JUNE_2025-2.pdf
Abakaile Dispensary,20000.0,May,2025,1,SHA_PAID_FACILITIES_MAY_2025.pdf
Abakore Nursing Home Limited,40800.0,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
Abakore Nursing Home Limited,28992.64,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
Abakore Nursing Home Limited,165760.0,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
Abakore Nursing Home Limited,2864960.0,May,2025,1,SHA_PAID_FACILITIES_MAY_2025.pdf
Abakore Nursing Home Limited,40320.0,June,2025,2,SHA_PAID_FACILITIES_JUNE_2025-2.pdf
Abakore Nursing Home Limited,2175040.0,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
Abakore Nursing Home Limited,36777.93,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
Abakore Nursing Home Limited,64640.0,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
Abakore Sub District Hospital,260800.0,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
Abakore Sub-County Hospital,134400.0,August,2025,1,SHA_PAYMENTS_AUGUST_2025_1.pdf
Abala Healthcare Limited,1874880.0,June,2025,2,SHA_PAID_FACILITIES_JUNE_2025-2.pdf
Abala Healthcare Limited,81662.18,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
Abala Healthcare Limited,3456320.0,May,2025,1,SHA_PAID_FACILITIES_MAY_2025.pdf
Abdisamad Dispensary,0.0,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
Abdisamad Dispensary,16972.52,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
Abdisamad Dispensary,30000.0,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
Abdiwaqo Dispensary,71153.34,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
Abdiwaqo Dispensary,90000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
Abdiwaqo Dispensary,69083.37,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
Abdul-Aziz Medical Centre,17185.82,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
Abdul-Aziz Medical Centre,5716480.0,June,2025,2,SHA_PAID_FACILITIES_JUNE_2025-2.pdf
Abidha Health Centre,6720.0,July,2025,1,SHA_PAID_FACILITIES_JULY_2025.pdf
Abidha Health Centre,107389.84,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
Abidha Health Centre,194353.72,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
Abidha Health Centre,147520.0,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
Abidha Health Centre,18960.0,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
Abidha Health Centre,4480.0,July,2025,1,SHA_PAID_FACILITIES_JULY_2025.pdf
Abidha Health Centre,20000.0,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
Abidha Health Centre,21200.0,June,2025,2,SHA_PAID_FACILITIES_JUNE_2025-2.pdf
Abidha Health Centre,5680.0,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
Abikashiro Medical Centre Ltd,827600.0,June,2025,2,SHA_PAID_FACILITIES_JUNE_2025-2.pdf
Abikashiro Medical Centre Ltd,80000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
Abm Specialized Hospital,827700.0,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
